Part Name,Quantity,Cost,Link
"5020 fans",4,"$4.07","https://makerbazar.in/products/generic-axial-dc-cooling-fan-blowers?variant=46399947931888"
"Neodymium Circular Magnet 3mm x 3mm",24,"$2.20","https://makerbazar.in/products/neodymium-circular-magnet?variant=47451807875312"
"90° L Bracket Right Angle Shape Corner Stand",8,"$0.92","https://makerbazar.in/products/right-angle-bracket-iron-angle-code-corner-stand?variant=46436990877936"
"Ball Caster Wheels",6,"$1.24","https://makerbazar.in/products/castor-wheels"
"Low Cost USB-C wire",1,"$0.45","https://makerbazar.in/products/generic-low-cost-type-c-usb-data-cable-black-white"
"5V LED strip",1,"$2.27","https://amzn.in/d/drIJrVY"
"PWM Fan Controller",2,"$3.41","https://makerbazar.in/products/dc-6v-28v-6v-12v-24v-3a-pwm-dc-motor-speed-controller-forward-reverse-with-switch"
"Ribbon Cable Wire",2,"$0.87","https://makerbazar.in/products/multi-coloured-ribbon-cable-wire?variant=40914910281879"
"Black Heat Shrink Sleeve Tube (2.5mm)",1,"$0.091","https://makerbazar.in/products/heat-shrink?variant=19627635212384"
"Type-C USB PCB Breakout Board",1,"$0.22","https://makerbazar.in/products/type-c-usb-female-to-dip-pcb-breakout-board?variant=46337045299440"
"KCD1 Big Rocker Switch",3,"$0.24","https://makerbazar.in/products/big-rocker-switch-2-leg-spst?variant=46150295814384"
"Steel Allen Socket Head Nut-Bolt M5 20mm",2,"$2.17","https://makerbazar.in/products/stainless-steel-allen-head-nut-bolt-washer-set?variant=44137393783024"
"Steel Allen Socket Head Nut-Bolt M5 25mm",2,"$2.52","https://makerbazar.in/products/stainless-steel-allen-head-nut-bolt-washer-set?variant=45147658322160"
"Steel Allen Socket Head Nut-Bolt M4 25mm",1,"$1.09","https://makerbazar.in/products/stainless-steel-allen-head-nut-bolt-washer-set?variant=44137326838000"
"buttonhead bolt M3 16mm",4,"$0.39","https://novo3d.in/buttonhead-bolt-cs"
"buttonhead bolt key M3",1,"$0.29","https://novo3d.in/allen-keys"
"Brass Threaded Round Female Insert Nut",4,"$0.23","https://makerbazar.in/products/brass-heat-set-threaded-round-female-insert-nut?variant=44435312083184"
"JST-SM Male-Female Connectors",4,"$0.41","https://makerbazar.in/products/jst-sm-male-and-female-connector-pair-with-wire?variant=47213255065840"
"Miscs",1,"$4",""
"Shipping and extra fees","","$0.46 (makerbazar) + $0.80 (nova3d) + $0.057 (amazon)",""
"Total","","$28.44",""
